timestamp,src_ip,pkt_count,byte_count,pkts_per_sec,bytes_per_sec,unique_dst_ips,unique_dst_ports,avg_pkt_size,std_ias,syn_count,syn_ratio,arp_req,arp_rep,mac_changes
1763682922.5000489,10.0.2.20,7,518,0.7,51.8,4,0,74.0,0.0009612265353630719,0,0,3,0,0
1763682922.5091817,10.0.2.10,2,140,0.2,14.0,1,0,70.0,0,0,0,0,1,0
1763682922.530355,10.0.2.11,2,140,0.2,14.0,1,0,70.0,0,0,0,0,1,0
1763682922.5477061,10.0.2.1,1,42,0.1,4.2,0,0,42.0,0,0,0,0,1,0
1763682922.5636458,10.0.1.1,1,98,0.1,9.8,1,0,98.0,0,0,0,0,0,0
1763682924.581929,10.0.2.20,14,1372,1.4,137.2,6,0,98.0,0.010252340959425503,0,0,0,0,11
1763682924.5967712,10.0.2.10,19,1750,1.9,175.0,7,0,92.10526315789474,0.008207385651863108,0,0,2,0,11
1763682924.6219118,10.0.2.11,19,1750,1.9,175.0,7,0,92.10526315789474,0.008400822329637627,0,0,1,1,11
1763682924.638649,10.0.2.1,5,378,0.5,37.8,3,0,75.6,0.010837090376770853,0,0,0,2,0
1763682924.6537616,10.0.1.1,11,910,1.1,91.0,5,0,82.72727272727273,0.00871678008200578,0,0,3,0,3
1763682924.671159,10.0.1.10,21,1890,2.1,189.0,6,0,90.0,0.010274083638611913,0,0,2,1,12
1763682924.6883411,10.0.1.11,21,1890,2.1,189.0,6,0,90.0,0.00948651281244326,0,0,1,2,12
1763682924.7073073,10.0.1.12,21,1890,2.1,189.0,6,0,90.0,0.009612235384682527,0,0,0,3,12
1763682927.7277992,10.0.2.20,3,126,0.3,12.6,0,0,42.0,0.14995169639587402,0,0,0,3,1
1763682927.7380185,10.0.2.10,1,42,0.1,4.2,0,0,42.0,0,0,0,1,0,1
1763682927.7612352,10.0.2.11,1,42,0.1,4.2,0,0,42.0,0,0,0,1,0,1
1763682927.7809162,10.0.2.1,1,42,0.1,4.2,0,0,42.0,0,0,0,1,0,0
1763682929.8028054,10.0.2.10,2,84,0.2,8.4,0,0,42.0,0,0,0,0,2,0
1763682929.8107111,10.0.2.11,2,84,0.2,8.4,0,0,42.0,0,0,0,1,1,0
1763682929.835657,10.0.2.1,2,84,0.2,8.4,0,0,42.0,0,0,0,2,0,0
